STATION,NAME,DATE,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/27/17,6.71,,,0,0,0,65,78,50,300,340,15,21
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/28/17,15.21,,,1.3,0,0,68,80,58,200,190,30,38.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/29/17,11.41,,,0.02,0,0,74,81,66,240,240,21.9,31.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/30/17,6.49,,,0,0,0,73,84,64,270,320,13,21.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/1/17,10.51,,,0,0,0,75,82,66,270,270,21.9,28
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/2/17,9.62,,,0,0,0,74,89,62,40,280,23,30
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/3/17,8.72,,,0.04,0,0,73,80,66,50,50,17,19.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/4/17,7.38,,,0,0,0,72,83,64,50,100,14.1,17
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/5/17,5.82,,,0,0,0,76,89,65,100,80,16.1,19
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/6/17,7.16,,,0,0,0,81,93,69,260,260,17,21.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/7/17,8.5,,,0,0,0,81,89,63,30,30,21,28
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/8/17,6.71,,,0,0,0,71,80,62,100,320,14.1,17
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/9/17,8.28,,,0,0,0,73,86,63,190,190,16.1,21
